STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,LVA,Latvia,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2017,,27661.271852,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2017,,114862.528755,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2016,,112955.470175,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,DNK,Denmark,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2021,,69679.751505,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2021,,135152.790656,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2022,,52685.403408,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2021,,47928.344959,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2020,,45221.877621,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2019,,44862.748114,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"Annual GDP and consumption per capita, US $, current prices, current PPPs",I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2023,,138829.905421,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
